 Daily Wholesale Price Bulletin	
Monday, January 13-2014	
 Commodity Name	Unit	Minimum	 Maximum	Average	
Tomato Big	Kg	40	45	42	
Tomato Small	Kg	30	35	33	
Potato Red	Kg	23	24	24	
Potato White	Kg	20	22	21	
Onion Dry	Kg	33	34	33	
Carrot	Kg	20	25	23	
Cabbage	Kg	18	22	20	
Cauli Local	Kg	25	30	28	
Cauli Terai	Kg	18	22	20	
Raddish Red	Kg	25	30	28	
Raddish White	Kg	14	16	15	
Brinjal Long	Kg	20	25	22	
Brinjal Round	Kg	25	30	28	
Cow pea	Kg	40	45	43	
Green Peas	Kg	26	30	28	
French Bean	Kg	50	55	53	
Sword Bean	Kg	25	30	27	
Bitter Gourd	Kg	100	110	103	
Bottle Gourd	Kg	30	35	32	
Pumpkin	Kg	16	18	17	
Squash	Kg	18	20	19	
Turnip	Kg	35	40	38	
Okara	Kg	60	70	65	
Sweet Potato	Kg	40	45	43	
Barela	Kg	40	45	43	
Arum	Kg	35	40	38	
Christophine	Kg	30	35	33	
Brd Leaf Mustard	Kg	20	25	23	
Spinach Leaf	Kg	45	50	48	
Cress Leaf	Kg	45	50	48	
Mustard Leaf	Kg	45	50	48	
Fenugreek Leaf	Kg	55	60	58	
Onion Green	Kg	55	60	58	
Bakula	Kg	45	50	48	
Yam	Kg	32	36	34	
Mushroom	Kg	140	150	145	
Brocauli	Kg	40	45	43	
Sugarbeet	Kg	80	90	85	
Red Cabbbage	Kg	150	160	155	
Lettuce	Kg	45	50	48	
Knolkhol	Kg	38	40	39	
Celery	Kg	120	130	125	
Parseley	Kg	170	180	175	
Fennel Leaf	Kg	45	50	48	
Mint	Kg	140	150	145	
Turnip A	Kg	45	50	48	
Tamarind	Kg	70	80	77	
Bamboo Shoot	Kg	150	160	157	
Tofu	Kg	60	70	65	
Gundruk	Kg	190	200	195	
Apple	Kg	90	100	95	
Banana	Doz	40	50	45	
Lime	100 Pcs	300	400	367	
Pomegranate	Kg	240	250	245	
Grapes	Kg	150	160	155	
Orange	Kg	55	60	58	
Water Melon	Kg	50	60	55	
Sweet Orange	Kg	80	90	85	
Pineapple	1 Pc	60	70	65	
Cucumber	Kg	40	45	43	
Jack Fruit	Kg	90	100	95	
Lemon	Kg	30	35	33	
Papaya	Kg	50	60	55	
Mombin	Kg	30	35	33	
Sugarcane	1 Pc	40	50	45	
Kinnow	Kg	45	50	48	
Ginger	Kg	100	110	103	
Chilli Dry	Kg	230	240	237	
Chilli Green	Kg	55	60	57	
Capsicum	Kg	40	45	43	
Garlic Green	Kg	55	60	58	
Coriander Green	Kg	50	60	57	
Garlic Dry Chinese	Kg	100	105	103	
Garlic Dry Nepali	Kg	95	100	98	
Clive Dry	Kg	150	160	155	
Clive Green	Kg	90	100	95	
Fish Fresh	Kg	220	230	225	
