 Daily Wholesale Price Bulletin	
Thursday, June 26-2014	
 Commodity Name	Unit	Minimum	 Maximum	Average	
Tomato Big	Kg	20	25	22	
Tomato Small	Kg	18	24	21	
Potato Red	Kg	38	40	39	
Potato White	Kg	30	32	31	
Onion Dry	Kg	38	40	39	
Carrot	Kg	55	60	58	
Cabbage	Kg	25	30	28	
Cauli Local	Kg	25	35	30	
Raddish White	Kg	30	35	32	
Brinjal Long	Kg	16	20	19	
Brinjal Round	Kg	28	30	29	
Cow pea	Kg	35	40	38	
Green Peas	Kg	100	110	105	
French Bean	Kg	30	35	32	
Sword Bean	Kg	120	130	125	
Soyabean Green	Kg	45	50	47	
Bitter Gourd	Kg	16	20	18	
Bottle Gourd	Kg	15	18	16	
Pointed Gourd	Kg	25	28	26	
Snake Gourd	Kg	28	30	29	
Smooth Gourd	Kg	15	20	18	
Sponge Gourd	Kg	35	40	38	
Pumpkin	Kg	22	24	23	
Squash	Kg	28	30	29	
Okara	Kg	35	40	38	
Christophine	Kg	35	40	37	
Brd Leaf Mustard	Kg	45	50	48	
Spinach Leaf	Kg	45	50	48	
Cress Leaf	Kg	55	60	58	
Mustard Leaf	Kg	55	60	58	
Fenugreek Leaf	Kg	55	60	58	
Onion Green	Kg	45	50	48	
Mushroom	Kg	180	200	193	
Asparagus	Kg	100	150	125	
Neuro	Kg	50	60	55	
Brocauli	Kg	150	170	160	
Sugarbeet	Kg	50	60	55	
Red Cabbbage	Kg	50	60	55	
Lettuce	Kg	55	60	58	
Knolkhol	Kg	45	50	48	
Celery	Kg	90	100	95	
Parseley	Kg	100	110	105	
Fennel Leaf	Kg	55	60	58	
Mint	Kg	140	150	145	
Tamarind	Kg	80	90	87	
Bamboo Shoot	Kg	130	140	135	
Tofu	Kg	60	70	65	
Gundruk	Kg	190	200	195	
Apple	Kg	190	200	197	
Banana	Doz	80	90	85	
Lime	100 Pcs	300	400	367	
Pomegranate	Kg	250	260	255	
Mango	Kg	80	90	87	
Water Melon	Kg	24	25	25	
Sweet Orange	Kg	110	120	115	
Pineapple	1 Pc	80	90	85	
Cucumber	Kg	45	50	48	
Jack Fruit	Kg	25	30	28	
Papaya	Kg	50	55	53	
Litchi	Kg	90	100	95	
Ginger	Kg	140	160	150	
Chilli Dry	Kg	190	200	193	
Chilli Green	Kg	45	50	48	
Capsicum	Kg	50	60	57	
Garlic Green	Kg	45	50	48	
Coriander Green	Kg	100	110	107	
Garlic Dry Chinese	Kg	100	110	105	
Garlic Dry Nepali	Kg	60	70	67	
Clive Dry	Kg	80	90	87	
Fish Fresh	Kg	210	220	217	
