 Daily Wholesale Price Bulletin	
Tuesday, February 25-2014	
 Commodity Name	Unit	Minimum	 Maximum	Average	
Tomato Big	Kg	25	30	28	
Tomato Small	Kg	30	35	33	
Potato Red	Kg	19	20	20	
Potato White	Kg	16	17	17	
Onion Dry	Kg	28	29	29	
Carrot	Kg	25	30	28	
Cabbage	Kg	18	22	20	
Cauli Local	Kg	30	35	33	
Cauli Terai	Kg	18	20	19	
Raddish Red	Kg	25	30	28	
Raddish White	Kg	8	10	9	
Brinjal Long	Kg	38	40	39	
Brinjal Round	Kg	40	45	43	
Green Peas	Kg	45	50	48	
French Bean	Kg	55	60	58	
Sword Bean	Kg	55	60	58	
Bitter Gourd	Kg	80	90	83	
Bottle Gourd	Kg	45	50	48	
Pointed Gourd	Kg	250	300	275	
Smooth Gourd	Kg	110	120	115	
Pumpkin	Kg	25	30	28	
Squash	Kg	24	26	25	
Turnip	Kg	30	35	33	
Okara	Kg	100	110	105	
Sweet Potato	Kg	45	50	48	
Barela	Kg	45	50	48	
Arum	Kg	45	50	48	
Christophine	Kg	25	30	28	
Brd Leaf Mustard	Kg	12	15	14	
Spinach Leaf	Kg	30	35	33	
Cress Leaf	Kg	30	35	33	
Mustard Leaf	Kg	30	35	33	
Fenugreek Leaf	Kg	30	35	33	
Onion Green	Kg	45	50	48	
Bakula	Kg	35	40	37	
Yam	Kg	28	30	29	
Mushroom	Kg	90	100	97	
Brocauli	Kg	30	35	33	
Sugarbeet	Kg	60	70	65	
Drumstick	Kg	190	200	195	
Red Cabbbage	Kg	80	90	85	
Lettuce	Kg	30	35	33	
Knolkhol	Kg	30	35	33	
Celery	Kg	120	130	125	
Parseley	Kg	170	180	175	
Fennel Leaf	Kg	30	35	33	
Mint	Kg	140	150	145	
Turnip A	Kg	30	35	33	
Tamarind	Kg	80	90	87	
Bamboo Shoot	Kg	150	160	155	
Tofu	Kg	60	70	65	
Gundruk	Kg	240	250	245	
Apple	Kg	100	110	105	
Banana	Doz	40	50	45	
Lime	100 Pcs	300	500	400	
Pomegranate	Kg	250	260	255	
Grapes	Kg	110	120	115	
Orange	Kg	60	70	65	
Water Melon	Kg	40	50	45	
Sweet Orange	Kg	75	80	78	
Pineapple	1 Pc	60	70	65	
Cucumber	Kg	25	30	28	
Jack Fruit	Kg	60	70	65	
Lemon	Kg	25	30	28	
Papaya	Kg	50	60	55	
Mombin	Kg	90	100	97	
Sugarcane	1 Pc	40	50	45	
Kinnow	Kg	50	60	53	
Strawberry	Kg	190	200	195	
Ginger	Kg	110	120	115	
Chilli Dry	Kg	230	240	237	
Chilli Green	Kg	60	70	65	
Capsicum	Kg	50	55	53	
Garlic Green	Kg	50	55	53	
Coriander Green	Kg	60	70	67	
Garlic Dry Chinese	Kg	90	100	93	
Garlic Dry Nepali	Kg	80	85	83	
Clive Dry	Kg	90	100	95	
Clive Green	Kg	55	60	58	
Fish Fresh	Kg	210	220	217	
