 Daily Wholesale Price Bulletin	
Sunday, August 24-2014	
 Commodity Name	Unit	Minimum	 Maximum	Average	
Tomato Big	Kg	55	60	57	
Tomato Small	Kg	50	55	53	
Potato Red	Kg	45	47	46	
Potato White	Kg	40	41	41	
Onion Dry	Kg	40	41	40	
Carrot	Kg	90	100	97	
Cabbage	Kg	14	18	16	
Cauli Local	Kg	40	50	45	
Raddish White	Kg	15	20	18	
Brinjal Long	Kg	18	20	19	
Cow pea	Kg	40	50	45	
French Bean	Kg	40	45	43	
Soyabean Green	Kg	50	60	55	
Bitter Gourd	Kg	28	30	29	
Bottle Gourd	Kg	20	25	22	
Pointed Gourd	Kg	55	65	60	
Snake Gourd	Kg	20	25	23	
Smooth Gourd	Kg	20	25	23	
Sponge Gourd	Kg	45	50	48	
Squash	Kg	45	50	48	
Okara	Kg	35	40	38	
Arum	Kg	45	50	48	
Christophine	Kg	26	28	27	
Brd Leaf Mustard	Kg	55	60	58	
Spinach Leaf	Kg	55	60	58	
Mustard Leaf	Kg	55	60	58	
Onion Green	Kg	55	60	58	
Mushroom	Kg	220	240	228	
Asparagus	Kg	250	300	275	
Neuro	Kg	50	60	55	
Brocauli	Kg	140	150	145	
Sugarbeet	Kg	60	70	65	
Red Cabbbage	Kg	120	130	125	
Mint	Kg	140	150	145	
Tamarind	Kg	90	100	93	
Bamboo Shoot	Kg	70	80	77	
Tofu	Kg	60	70	65	
Gundruk	Kg	190	200	195	
Apple	Kg	100	120	110	
Banana	Doz	60	70	65	
Lime	100 Pcs	300	400	367	
Pomegranate	Kg	170	180	175	
Mango	Kg	80	90	85	
Water Melon	Kg	45	50	47	
Sweet Orange	Kg	80	90	85	
Pineapple	1 Pc	80	90	85	
Cucumber	Kg	45	50	49	
Jack Fruit	Kg	25	30	28	
Pear	Kg	40	50	45	
Papaya	Kg	55	60	58	
Guava	Kg	30	40	35	
Mombin	Kg	25	30	28	
Ginger	Kg	120	130	127	
Chilli Dry	Kg	220	230	223	
Chilli Green	Kg	40	45	42	
Capsicum	Kg	45	50	48	
Garlic Green	Kg	55	60	58	
Coriander Green	Kg	200	220	213	
Garlic Dry Chinese	Kg	110	112	111	
Garlic Dry Nepali	Kg	70	80	77	
Clive Dry	Kg	100	110	105	
Fish Fresh	Kg	220	230	225	
